Procedure Description,Patient Class (Inpatient/Outpatient),Code,Quantity,Rev Code,Gross Charge,Discounted Cash Price (Uninsured Discount 35%),Derived Negotiated Rate Estimate Min,Derived Negotiated Rate Estimate Max,Derived Negotiated Rate Estimate Min.1,Derived Negotiated Rate Estimate Max.1,Derived Negotiated Rate Estimate Min.2,Derived Negotiated Rate Estimate Max.2,HCPCS,HCPCS description
ADMINISTRATION OF JOHNSON AND JOHNSON COVID-19 VACCINE,Outpatient,CPT® 0031A,1,0771 - VACCINE ADMINISTRATION,49.0,31.85,40.47,45.13,7.84,9.31,,,0031A,Adm sarscov2 vac ad26 .5ml
Hc Ct Cerebral Perf Analysis With Contrast,Outpatient,CPT® 0042T,1,0351 - CT SCAN HEAD,2217.0,1441.05,1831.24,2041.86,354.72,421.23,,,0042T,Ct perfusion w/contrast cbf
Hc Transcath Stent Xtracran Cca Perc Initial Vessel,Outpatient,CPT® 0075T,1,0361 - MINOR SURGERY,20104.0,13067.6,16605.9,18515.78,3216.64,3819.76,,,0075T,Perq stent/chest vert art
Hc Transcath Stent Xtracran Cca Perc Addl Vessel,Outpatient,CPT® 0076T,1,0361 - MINOR SURGERY,8897.0,5783.05,7348.92,8194.14,1423.52,1690.43,,,0076T,S&i stent/chest vert art
Hc Sacroplasty Inj Unilat W Balloon Or Device,Outpatient,CPT® 0200T,1,0361 - MINOR SURGERY,13653.0,8874.45,11277.38,12574.41,2184.48,2594.07,,,0200T,Perq sacral augmt unilat inj
Hc Sacroplasty Inj Bilat W Balloon Or Device,Outpatient,CPT® 0201T,1,0361 - MINOR SURGERY,14855.0,9655.75,12270.23,13681.46,2376.8,2822.45,,,0201T,Perq sacral augmt bilat inj
Hc Inj Platelet Rich Plasma,Outpatient,CPT® 0232T,1,0360 - OPERATING ROOM SERVICES,4672.0,3036.8,3859.07,4302.91,747.52,887.6800000000001,,,0232T,Njx platelet plasma
Hc Translum Peripheral Atherectomy Brachiocephalic,Outpatient,CPT® 0237T,1,0361 - MINOR SURGERY,9360.0,6084.0,7731.36,8620.56,1497.6000000000001,1778.4,10074.92,10074.92,0237T,Trluml perip athrc brchiocph
Hc Translum Peripheral Atherectomy Iliac Artery,Outpatient,CPT® 0238T,1,0361 - MINOR SURGERY,11941.0,7761.650000000001,9863.27,10997.66,1910.56,2268.79,,,0238T,Trluml perip athrc iliac art
PERCUTANEOUS LAMINOTOMY LAMINECTOMY LUMBAR,Outpatient,CPT® 0275T,1,0361 - MINOR SURGERY,12197.0,7928.05,10074.72,11233.44,1951.52,2317.43,,,0275T,Perq lamot/lam lumbar
Hc Renal Transcath Sympath Denerv Uni,Outpatient,CPT® 0338T,1,0361 - MINOR SURGERY,11435.0,7432.75,9445.31,10531.64,1829.6000000000001,2172.65,,,0338T,Trnscth renal symp denrv unl
Hc Renal Transcath Sympath Denerv Bil,Outpatient,CPT® 0339T,1,0361 - MINOR SURGERY,11435.0,7432.75,9445.31,10531.64,1829.6000000000001,2172.65,,,0339T,Trnscth renal symp denrv bil
MRI GUIDED HIGH INTENSITY FOCUSED ULTRASOUND ABLATION OF LESION,Outpatient,CPT® 0398T,1,0614 - MRI OTHER,21708.0,14110.2,17930.81,19993.07,3473.28,4124.52,,,0398T,Mrgfus strtctc les abltj
INSERT OR RPLCE NEUROSTIM CENTRAL SLEEP APNEA COMP,Outpatient,CPT® 0424T,1,0361 - MINOR SURGERY,18035.0,11722.75,14896.91,16610.24,2885.6,3426.65,29538.27,29538.27,0424T,Insj/rplc nstim apnea compl
ABLATION PERCUTANEOUS CRYO IMG GUID NERVE PLEXUS OR TRUNCAL NERVE,Outpatient,CPT® 0442T,1,0361 - MINOR SURGERY,5960.0,3874.0,4922.96,5489.16,953.6,1132.4,,,0442T,Abltj perc plex/trncl nrv
Hc Tmvi W Prosthetic Valve Percutaneous,Outpatient,CPT® 0483T,1,0481 - CARDIAC CATH LAB,34719.0,22567.350000000002,28677.89,31976.2,5555.04,6596.61,,,0483T,Tmvi percutaneous approach
Hc Tmvi W Prosthetic Valve Transthoracic Exposure,Outpatient,CPT® 0484T,1,0481 - CARDIAC CATH LAB,34719.0,22567.350000000002,28677.89,31976.2,5555.04,6596.61,,,0484T,Tmvi transthoracic exposure
Hc Coronary Ffr From Ccta Data Prep & Transmission Only,Outpatient,CPT® 0502T,1,0361 - MINOR SURGERY,397.0,258.05,327.92,365.64,63.52,75.43,,,0502T,Cor ffr data prep & transmis
Hc Coronary Ffr From Ccta Generation Of Estimated Ffr Model Only,Outpatient,CPT® 0503T,1,0361 - MINOR SURGERY,5545.0,3604.25,4580.17,5106.95,887.2,1053.55,,,0503T,Cor ffr alys gnrj ffr mdl
Hc Endovenous Femoral-popliteal Arterial Revasc,Outpatient,CPT® 0505T,1,0361 - MINOR SURGERY,18090.0,11758.5,14942.34,16660.89,2894.4,3437.1,,,0505T,Ev fempop artl revsc
Hc Removal And Rplce Cardiac Stimulator Left,Outpatient,CPT® 0519T,1,0361 - MINOR SURGERY,19648.0,12771.2,16229.25,18095.81,3143.6800000000003,3733.12,,,0519T,Rmvl & rplcmt pg compnt wcs
Hc Removal And Rplce Cardiac Stimulator Left W New Electro,Outpatient,CPT® 0520T,1,0361 - MINOR SURGERY,19648.0,12771.2,16229.25,18095.81,3143.6800000000003,3733.12,,,0520T,Rmvl&rplcmt pg wcs new eltrd
Hc Intraprocedural Coronary Ffr Values For Stenosis Interven Add On,Outpatient,CPT® 0523T,1,0480 - CARDIOLOGY,385.0,250.25,318.01,354.59,61.6,73.15,,,0523T,Ntrapx c ffr w/3d funcjl map
